energy energy_min energy_max de dnde dnde_error non non_err noff noff_err alpha sign T
0.282    0.2    0.398    0.199     2.179e+00   0.0  0.0 0.0       3.0 1.7     0.17       -1.0       520.9
0.562    0.398    0.794    0.396   1.903e-12   8.135e-13 35.0 5.9       123.0 11.1     0.17  2.7       22651.1
1.122    0.794    1.585    0.791   3.504e-13   1.862e-13  18.0 4.2       58.0 7.6  0.17  2.2 24210.6
2.239    1.585    3.162    1.577   1.408e-13   5.214e-14  9.0 3.0       5.0 2.2     0.17       4.3 24210.6
4.467    3.162    6.310    3.147   3.589e-14   0.0    1.0 1.0       2.0 1.4     0.17       0.8       24210.6
# first version
# 0.282 0.2 0.398 0.199 2.179e+00 0.0 0.0 0.0 3.0 1.7 0.17 -1.0 520.9
# 0.562 0.398 0.794 0.396 1.903e-12 8.134e-13 35.0 5.9 123.0 11.1 0.17 2.7 22651.1
# 1.122 0.794 1.585 0.791 3.503e-13 1.862e-13 18.0 4.2 58.0 7.6 0.17 2.2 24210.6
# 2.239 1.585 3.162 1.577 1.408e-13 5.213e-14 9.0 3.0 5.0 2.2 0.17 4.3 24210.6
# 4.467 3.162 6.310 3.147 3.588e-14 0.0 1.0 1.0 2.0 1.4 0.17 0.8 24210.6
# 8.913 6.310 12.589 6.280 1.710e-14 0.0 1.0 1.0 0.0 0.0 0.17 2.0 24210.6
# 17.783 12.589 25.119 12.530 3.634e-15 0.0 0.0 0.0 1.0 1.0 0.17 -0.6 24210.6
# 70.795 50.119 100.000 49.881 7.398e-16 0.0 0.0 0.0 1.0 1.0 0.17 -0.6 24210.6
# 141.254 100.000 199.526 99.526 3.387e-16 0.0 0.0 0.0 1.0 1.0 0.17 -0.6 24210.6
