energy flux flux_err
3.06 8.29190488328832e-13 1.7639964595008e-13
3.18 6.82591327525632e-13 1.546100439072e-13
3.28 1.14539606620992e-12 2.35664159153472e-13
3.36 1.022092553473152e-12 2.19289914088896e-13
3.46 7.82134560975936e-13 1.5646536443408642e-13
3.56 9.190725967557121e-13 2.04742150372032e-13
3.64 9.10581060665472e-13 2.0331621317952e-13
3.72 9.41455004148288e-13 2.06584653485952e-13
3.8 7.1545197001824e-13 1.7816204023296002e-13
3.9 8.308086867158401e-13 1.576109207179584e-13
4.0 7.79891513706816e-13 1.86204966869376e-13
4.08 1.302553570944192e-12 2.3886851239507203e-13
4.16 1.117774541267328e-12 2.20010893568256e-13
4.24 7.51276639259328e-13 1.82071351187712e-13
4.32 1.089912689831616e-12 2.1879323933644801e-13
4.4 9.615142554407042e-13 2.08154786574336e-13
4.5 9.61882756063488e-13 1.69718569441344e-13
4.6 8.01504876321408e-13 1.9049880021312e-13
4.7 7.73274524262912e-13 1.566400016857536e-13
4.8 1.125240684320256e-12 2.3010460627929603e-13
4.88 1.13009527948128e-12 2.32988524196736e-13
4.96 1.1555058006871682e-12 2.35808355049344e-13
5.06 5.88928082273664e-13 1.398523950530112e-13
5.18 9.051817254533761e-13 1.74412946940288e-13
5.28 9.70246118024064e-13 2.2247824556428802e-13
5.38 9.30175680737856e-13 1.79539912126848e-13
5.48 9.94406941465728e-13 2.28598560255744e-13
5.56 1.204131861128448e-12 2.52615187801536e-13
5.64 1.1340526557346559e-12 2.45100979449984e-13
5.72 1.142416017695232e-12 2.4862576801574397e-13
5.82 1.211501873584128e-12 2.10830421531072e-13
5.94 7.727297842118401e-13 1.71737311983552e-13
6.06 8.52245809902144e-13 1.8308072245881601e-13
6.16 1.285874912321664e-12 2.74068332754048e-13
6.26 1.0571001126376321e-12 2.0488634626790402e-13
6.38 9.36344060727936e-13 1.94760590024448e-13
6.5 6.224936824794241e-13 1.64207081865792e-13
6.62 8.845937558760961e-13 1.95673830698304e-13
6.74 6.88311098061888e-13 1.7721675602668801e-13
6.86 9.76110084456192e-13 2.09901159091008e-13
6.98 1.095600416835456e-12 2.2403235688646399e-13
7.1 1.139756404504704e-12 2.29816214487552e-13
7.22 1.100663294957184e-12 2.31386347575936e-13
7.34 1.196521522179648e-12 2.41736408546304e-13
7.48 7.53519686528448e-13 1.71737311983552e-13
7.62 6.41399366604864e-13 1.87759078191552e-13
7.72 1.560792398684736e-12 3.5164572473318405e-13
7.84 8.37473741458368e-13 1.8831984000883201e-13
7.98 1.27020562497024e-12 2.6935793348889604e-13
8.1 1.05230960454144e-12 2.4657498194112003e-13
8.24 9.08562318123264e-13 2.0386095323059202e-13
8.38 8.750447832161279e-13 2.3278024123603205e-13
8.52 1.05871831102464e-12 2.24496988106496e-13
8.66 1.173097699983552e-12 2.7485339929824e-13
8.8 1.03284315859872e-12 2.27396927790144e-13
8.96 1.070109786798528e-12 2.34510591986496e-13
9.12 1.039283908614336e-12 2.36865791619072e-13
9.24 1.32363821527392e-12 3.7293865202361604e-13
9.38 9.98011838862528e-13 2.1300938173536003e-13
9.54 1.2338842809767039e-12 3.11927766303552e-13
9.68 1.0865641406941441e-12 2.5458586504512005e-13
9.84 1.2603842822847359e-12 2.79675950926848e-13
10.06 6.6626514775968e-13 1.65793236720384e-13
10.28 1.4434009176787201e-12 3.26026920566592e-13
10.46 1.160632765873728e-12 2.73779940962304e-13
10.68 8.57452883919744e-13 2.2146887429318403e-13
10.88 1.4902325403047042e-12 3.58134540047424e-13
11.08 9.30768486087552e-13 2.44940761787904e-13
11.34 9.871330596072959e-13 2.40230362522752e-13
11.6 1.157668739125248e-12 2.95329216512064e-13
11.84 1.050515166726144e-12 2.94111562280256e-13
12.1 1.473425707552512e-12 3.33717368346432e-13
12.38 1.156146671335488e-12 3.03035686058112e-13
12.64 1.420201400209536e-12 3.7106410537728e-13
12.92 9.30672355490304e-13 2.76840098308032e-13
13.22 1.587628857083136e-12 3.82647842345664e-13
13.64 7.03852211283648e-13 2.01377579468352e-13
14.14 1.050611297323392e-12 2.8646917979904e-13
14.6 1.070141830330944e-12 2.87013919850112e-13
15.04 1.7141687665939199e-12 4.07097057579072e-13
15.42 2.1461155835616e-12 4.984531684970881e-13
15.8 1.3713350132751361e-12 4.07850080590848e-13
16.38 8.82174469178688e-13 2.54201342656128e-13
17.04 1.2887908737715202e-12 3.773125941984e-13
17.7 1.342928421788352e-12 3.4903417684128003e-13
18.3 2.3239571884704e-12 6.17110369033536e-13
18.96 1.4665203263168641e-12 3.8300032120224005e-13
20.1 1.061874598967616e-12 2.96146326588672e-13
21.44 1.320065361409536e-12 3.83993670707136e-13
22.56 1.934628269616e-12 5.82519375790464e-13
23.66 2.10734290933824e-12 6.06696220998336e-13
26.06 1.3590783621260162e-12 3.98557456190208e-13
279085324.48218346 2.871660495139373e-12 9.889512708013884e-13
556848430.6001621 1.0902396045137725e-12 4.653463725913152e-13
1111059712.0494082 9.246947443847596e-13 4.0754415644302825e-13
2216853531.333861 3.5902245502777297e-13 3.3718368279741116e-13
