energy size flux flux_error_lo flux_error_hi
3.0600 0.060000 4.1964E-04 9.6921E-05 3.9710E-04
3.2000 0.080000 3.7823E-04 7.7027E-05 4.0457E-04
3.3600 0.080000 3.5209E-04 7.0891E-05 4.1293E-04
3.5200 0.080000 3.7950E-04 7.2943E-05 4.2106E-04
3.6600 0.060000 4.5075E-04 9.1142E-05 4.2802E-04
3.8000 0.080000 3.9386E-04 7.3357E-05 4.3478E-04
3.9600 0.080000 3.7089E-04 7.0718E-05 4.4235E-04
4.1200 0.080000 4.3719E-04 7.6867E-05 4.4975E-04
4.2400 0.040000 5.6969E-04 1.2280E-04 4.5523E-04
4.3400 0.060000 5.2584E-04 9.6989E-05 4.5968E-04
4.4600 0.060000 5.6151E-04 1.0138E-04 4.6496E-04
4.5800 0.060000 3.8754E-04 8.5370E-05 4.7016E-04
4.7000 0.060000 4.6331E-04 9.4024E-05 4.7528E-04
4.8200 0.060000 5.8536E-04 1.0562E-04 4.8033E-04
4.9400 0.060000 5.7961E-04 1.0599E-04 4.8530E-04
5.0400 0.040000 6.1018E-04 1.3461E-04 4.8940E-04
5.1200 0.040000 5.2438E-04 1.2383E-04 4.9264E-04
5.2000 0.040000 4.2045E-04 1.1493E-04 4.9584E-04
5.2800 0.040000 5.8819E-04 1.3344E-04 4.9902E-04
5.3800 0.060000 4.8832E-04 1.0213E-04 5.0295E-04
5.5000 0.060000 4.4033E-04 9.7960E-05 5.0762E-04
5.6200 0.060000 6.2252E-04 1.1518E-04 5.1222E-04
5.7400 0.060000 5.5839E-04 1.0992E-04 5.1677E-04
5.8600 0.060000 4.5167E-04 1.0152E-04 5.2127E-04
6.0000 0.080000 4.6872E-04 9.0474E-05 5.2644E-04
6.1400 0.060000 4.9765E-04 1.0899E-04 5.3156E-04
6.2600 0.060000 4.4551E-04 1.0432E-04 5.3588E-04
6.3600 0.040000 7.0058E-04 1.5955E-04 5.3946E-04
6.4400 0.040000 6.8279E-04 1.5808E-04 5.4229E-04
6.5400 0.060000 5.9216E-04 1.2252E-04 5.4579E-04
6.6600 0.060000 4.8023E-04 1.1252E-04 5.4996E-04
6.7800 0.060000 7.3762E-04 1.3800E-04 5.5409E-04
6.9000 0.060000 4.2929E-04 1.0968E-04 5.5818E-04
7.0200 0.060000 6.8618E-04 1.3758E-04 5.6222E-04
7.1400 0.060000 6.4527E-04 1.3591E-04 5.6622E-04
7.2400 0.040000 6.8050E-04 1.7170E-04 5.6954E-04
7.3400 0.060000 5.3624E-04 1.2670E-04 5.7281E-04
7.4800 0.080000 5.3554E-04 1.1155E-04 5.7735E-04
7.6200 0.060000 7.1117E-04 1.4990E-04 5.8186E-04
7.7200 0.040000 8.3455E-04 1.9981E-04 5.8505E-04
7.8200 0.060000 5.3018E-04 1.3214E-04 5.8821E-04
7.9600 0.080000 6.6259E-04 1.2940E-04 5.9258E-04
8.1000 0.060000 7.9407E-04 1.6460E-04 5.9693E-04
8.2400 0.080000 6.4881E-04 1.3186E-04 6.0122E-04
8.3800 0.060000 7.0416E-04 1.5920E-04 6.0549E-04
8.5000 0.060000 7.5290E-04 1.6695E-04 6.0910E-04
8.6200 0.060000 6.5408E-04 1.5886E-04 6.1269E-04
8.7400 0.060000 7.1104E-04 1.6665E-04 6.1624E-04
8.8600 0.060000 6.0764E-04 1.5747E-04 6.1977E-04
8.9800 0.060000 5.9891E-04 1.5629E-04 6.2327E-04
9.1000 0.060000 7.9558E-04 1.8350E-04 6.2675E-04
9.2400 0.080000 4.3374E-04 1.1949E-04 6.3076E-04
9.4000 0.080000 6.4015E-04 1.4612E-04 6.3531E-04
9.5600 0.080000 6.2215E-04 1.4749E-04 6.3981E-04
9.7200 0.080000 7.0387E-04 1.6050E-04 6.4428E-04
9.8600 0.060000 9.0310E-04 2.1251E-04 6.4815E-04
10.040 0.12000 4.3938E-04 1.1067E-04 6.5306E-04
10.260 0.10000 7.8267E-04 1.6686E-04 6.5902E-04
10.460 0.10000 6.6018E-04 1.5770E-04 6.6437E-04
10.640 0.080000 8.2437E-04 1.9944E-04 6.6914E-04
10.800 0.080000 8.5689E-04 2.0684E-04 6.7333E-04
11.020 0.14000 5.7788E-04 1.3427E-04 6.7902E-04
11.260 0.10000 7.4326E-04 1.8216E-04 6.8519E-04
11.460 0.10000 7.7200E-04 1.9627E-04 6.9026E-04
11.720 0.16000 6.5302E-04 1.5045E-04 6.9675E-04
12.020 0.14000 6.6457E-04 1.7022E-04 7.0417E-04
12.320 0.16000 5.3865E-04 1.4946E-04 7.1147E-04
12.620 0.14000 7.2985E-04 1.8616E-04 7.1868E-04
12.940 0.18000 5.6477E-04 1.5464E-04 7.2624E-04
13.280 0.16000 6.7912E-04 1.8333E-04 7.3417E-04
13.620 0.18000 6.2609E-04 1.7778E-04 7.4198E-04
14.000 0.20000 7.4867E-04 1.8993E-04 7.5057E-04
14.380 0.18000 6.6174E-04 1.9536E-04 7.5904E-04
14.820 0.26000 5.8835E-04 1.6206E-04 7.6864E-04
15.180 0.10000 0.0017595 4.5175E-04 7.7647E-04
15.520 0.24000 6.9314E-04 1.9478E-04 7.8366E-04
15.900 0.14000 0.0015948 3.9106E-04 7.9167E-04
16.340 0.30000 7.7689E-04 2.0277E-04 8.0071E-04
16.820 0.18000 0.0012957 3.4002E-04 8.1053E-04
17.220 0.22000 0.0010585 2.8945E-04 8.1853E-04
17.700 0.26000 0.0010832 2.8247E-04 8.2799E-04
18.340 0.38000 6.9693E-04 2.0323E-04 8.4034E-04
18.980 0.26000 0.0011398 3.3032E-04 8.5256E-04
19.620 0.38000 9.9221E-04 2.7275E-04 8.6442E-04
20.360 0.36000 0.0010099 2.9654E-04 8.7794E-04
21.140 0.42000 9.6198E-04 2.8731E-04 8.9185E-04
22.440 0.88000 6.9026E-04 2.0161E-04 9.1407E-04
24.340 1.0200 8.3362E-04 2.5452E-04 9.4564E-04
26.700 1.3400 9.9645E-04 3.0308E-04 9.8276E-04
