energy size flux flux_error_lo flux_error_hi
3.0600 0.060000 5.1754E-04 1.1010E-04 5.0765E-04
3.1800 0.060000 4.2604E-04 9.6500E-05 5.1193E-04
3.2800 0.040000 7.1490E-04 1.4709E-04 5.1542E-04
3.3600 0.040000 6.3794E-04 1.3687E-04 5.1814E-04
3.4600 0.060000 4.8817E-04 9.7658E-05 5.2145E-04
3.5600 0.040000 5.7364E-04 1.2779E-04 5.2472E-04
3.6400 0.040000 5.6834E-04 1.2690E-04 5.2728E-04
3.7200 0.040000 5.8761E-04 1.2894E-04 5.2978E-04
3.8000 0.040000 4.4655E-04 1.1120E-04 5.3225E-04
3.9000 0.060000 5.1855E-04 9.8373E-05 5.3526E-04
4.0000 0.040000 4.8677E-04 1.1622E-04 5.3824E-04
4.0800 0.040000 8.1299E-04 1.4909E-04 5.4058E-04
4.1600 0.040000 6.9766E-04 1.3732E-04 5.4287E-04
4.2400 0.040000 4.6891E-04 1.1364E-04 5.4513E-04
4.3200 0.040000 6.8027E-04 1.3656E-04 5.4736E-04
4.4000 0.040000 6.0013E-04 1.2992E-04 5.4956E-04
4.5000 0.060000 6.0036E-04 1.0593E-04 5.5225E-04
4.6000 0.040000 5.0026E-04 1.1890E-04 5.5492E-04
4.7000 0.060000 4.8264E-04 9.7767E-05 5.5752E-04
4.8000 0.040000 7.0232E-04 1.4362E-04 5.6010E-04
4.8800 0.040000 7.0535E-04 1.4542E-04 5.6212E-04
4.9600 0.040000 7.2121E-04 1.4718E-04 5.6412E-04
5.0600 0.060000 3.6758E-04 8.7289E-05 5.6658E-04
5.1800 0.060000 5.6497E-04 1.0886E-04 5.6948E-04
5.2800 0.040000 6.0558E-04 1.3886E-04 5.7187E-04
5.3800 0.060000 5.8057E-04 1.1206E-04 5.7421E-04
5.4800 0.040000 6.2066E-04 1.4268E-04 5.7653E-04
5.5600 0.040000 7.5156E-04 1.5767E-04 5.7836E-04
5.6400 0.040000 7.0782E-04 1.5298E-04 5.8017E-04
5.7200 0.040000 7.1304E-04 1.5518E-04 5.8195E-04
5.8200 0.060000 7.5616E-04 1.3159E-04 5.8415E-04
