# ObsId      Obs_MJD        log10(Flux 0.3-10 keV / (1erg/cm2/s) )  log10(Flux_min)  log10(Flux_max)
ObsID         MJD              Flux      Flux_min   Flux_max
xmm          54360            -12.2868  -12.3068   -12.2668
suz403       54579            -11.76    -11.77     -11.75
00031329001  54857.099774579  -12.0113 -12.10640781 -11.91303868
00031329002  54858.1043859243  -12.0136 -12.10492735 -11.91945852
00031329003  54859.0388816031  -11.6655 -11.82904682 -11.56038002
00031329004  54860.0498582841  -12.1309 -12.21550313 -12.04357459
00031329005  54867.0123113399  -12.1225 -12.23288197 -12.02379407
00031329006  54874.1564161065  -12.0818 -12.17950431 -11.98053365
00031329007  54904.0764902459  -11.9087 -11.98908627 -11.82829197
00031329008  54907.4212770185  -12.1094 -12.21703002 -11.98955768
00031329009  54911.715274985  -11.7841 -11.89764991 -11.66665914
00031329010  54914.3149048058  -11.8402 -11.91909631 -11.7597911
00031329011  54918.6732737359  -11.7904 -11.86644515 -11.71282594
00031329012  54921.079582816  -11.8682 -11.95842029 -11.77598507
00031329013  54925.0922538482  -11.5743 -11.6453299 -11.5029323
00031329014  54929.6418852609  -11.7579 -11.97619741 -11.5226328
00031329015  54932.7245266107  -11.6784 -11.75982342 -11.60131277
00031329016  54935.0016074794  -11.6934 -11.77733519 -11.66012073
00031329017  54938.0151955609  -11.7775 -11.84673241 -11.70596704
suz404       54941.0           -11.788  -11.828      -11.738 
00031329018  54941.0259434072  -11.8022 -11.8688654 -11.73478785
00031329019  54944.0329211908  -11.8397 -11.92765107 -11.74841545
00031329020  54948.1192932047  -11.7525 -11.83903015 -11.66386261
00031329021  54952.9346084523  -11.5919 -11.64893857 -11.53443464
00031329022  54956.8188491822  -11.5203 -11.57707844 -11.46303425
00031329023  54959.0266223528  -11.5333 -11.58323861 -11.48304763
00031329024  54962.0455683531  -11.4882 -11.55167197 -11.42403591
00031329025  54964.7247193806  -11.5544 -11.60302866 -11.50491064
00031329026  54965.462610756  -11.4401 -11.48224986 -11.39772221
00031329027  55059.0308631063  -12.0218 -12.11455932 -11.92817112
00031329028  55066.1871840917  -11.7502 -11.84347727 -11.65556839
00031329029  55073.3486594456  -11.9586 -12.08253684 -11.82927372
00031329030  55080.1690059311  -11.8771 -11.94714026 -11.80486139
00031329031  55088.6117073612  -12.0293 -12.11930645 -11.93728951
00031329032  55094.7688005889  -11.6244 -11.69229095 -11.55532661
00031329034  55108.696379094  -11.8378 -11.90926551 -11.76500994
00031329035  55115.7957446098  -11.7691 -11.83710729 -11.70110787
00031329036  55122.4771819304  -11.9448 -12.03822184 -11.84989946
00031329037  55123.42555491  -12.0666 -12.1463016 -11.98555739
00031329038  55124.4858837193  -12.0732 -12.18706313 -11.9518865
00031329039  55125.4849597091  -11.7077 -12.08871495 -11.47267755
00031329040  55126.4273239855  -11.9906 -12.12223575 -11.8485119
00031329041  55127.4273189086  -12.0796 -12.19038835 -11.95962657
00031329042  55128.438332854   -11.9426  -12.0726     -11.8248
00031329043  55130.1085895068  -11.988 -12.05988831 -11.91438677
00031329044  55132.5079790556  -11.8345 -11.95279505 -11.70644256
00031329045  55136.4017537338  -11.9438 -12.03846119 -11.84578815
00031329046  55143.9624226188  -12.0057 -12.09144987 -11.91774669
00031329047  55150.0428607456  -11.9697 -12.06224433 -11.87662422
00031329048  55157.0892748801  -11.9969 -12.09995555 -11.88950017
00031329049  55164.0441264223  -11.9116 -12.01244954 -11.82750997
00031329050  55171.2633397287  -11.9881 -12.06248071 -11.91294368
00031329051  55178.1037097486  -12.0886 -12.19207631 -11.98284771
00031329052  55186.3259256937  -12.0488 -12.13241971 -11.96324787
00031329053  55192.7673488676  -11.9468 -12.04344913 -11.8460644
00031329054  55199.1667220005  -11.9394 -12.05768772 -11.85703107
00031329055  55206.6140622338  -12.0118 -12.10753511 -11.91445286
00031329056  55214.7084990734  -11.8618 -11.93746244 -11.78443249
00031329057  55222.1385152991  -11.7419 -11.79993903 -11.68332588
00031329058  55227.0244117683  -11.5914 -11.66215239 -11.51977354
00031329060  55237.7170386232  -11.977 -12.17432378 -11.68833007
00031329061  55238.798202444  -11.8352 -11.9111554 -11.7588854
00031329062  55241.1435598579  -11.882 -12.12754338 -11.71520967
00031329063  55243.0811707612  -11.808 -11.89068303 -11.72696926
00031329064  55248.024056975  -11.8505 -11.95090849 -11.76308527
00031329065  55255.1874414338  -11.8771 -11.95393862 -11.79882266
00031329066  55262.2861014942  -11.7647 -11.84667573 -11.68114243
00031329067  55269.1102081716  -11.7363 -11.79538274 -11.67686182
00031329068  55276.9529572887  -11.5281 -11.57949394 -11.47631294
00031329069  55283.2362751379  -11.4631 -11.51019218 -11.41572196
00090417001  55290.4577263158  -11.7729 -11.85049285 -11.69449606
00090417002  55298.082415823  -11.9028 -12.01450278 -11.78858998
00090417003  55304.454807416  -11.8954 -12.06726362 -11.82418927
00090417004  55311.0030837889  -12.1389 -12.33840021 -11.98240379
00090417005  55318.0259279243  -12.0935 -12.23825132 -12.00317005
00090417006  55325.0104943192  -11.9513 -12.08363273 -11.82442476
00090417007  55430.1908146933  -11.5869 -11.63624479 -11.53696854
00090417008  55438.5543371493  -11.71 -11.79487796 -11.62327323
00090417009  55444.1175318329  -11.8877 -11.94709395 -11.82711506
00090417010  55451.0099061396  -11.9385 -12.02923041 -11.8441548
00090417011  55458.4896291491  -12.0308 -12.11039062 -11.94913717
00090417012  55465.0590542197  -11.9129 -12.00178505 -11.82179509
